,Fecha,Criptomoneda,Precio,Variación 24h,Capitalización de mercado,Volumen
169,2021-01-26,Bitcoin,32582.10944502123,0.6387253674635218,606573549809.83,48489676580.41
170,2021-01-27,Bitcoin,30445.52586511351,-6.557536072098014,566661443732.41,51514291052.43
171,2021-01-28,Bitcoin,33128.34752861149,8.811874938156805,616625386428.24,51075972572.46
172,2021-01-29,Bitcoin,34150.81876737221,3.0863937233140293,635688668063.59,97468515525.42
173,2021-01-30,Bitcoin,34199.51981036302,0.1426057844250872,636624676861.26,52001249491.11
174,2021-01-31,Bitcoin,33064.78676701507,-3.3179794618171776,615013848827.35,42488649643.23
175,2021-02-01,Bitcoin,33405.99035714327,1.0319243627137986,621908231690.14,49268860242.67
176,2021-02-02,Bitcoin,35485.98593382442,6.226414946672509,660664104637.49,50730704376.61
177,2021-02-03,Bitcoin,37494.71762460426,5.6606337344713875,695794870715.53,49762137494.21
178,2021-02-04,Bitcoin,36816.50808203406,-1.8088135757159396,686453802173.38,54494811707.23
179,2021-02-05,Bitcoin,38007.83222908396,3.235842313984283,706320162928.66,47446256481.71
180,2021-02-06,Bitcoin,39279.41286897885,3.3455752809860684,732453192636.72,57076868562.49
181,2021-02-07,Bitcoin,38833.34026455532,-1.135639694797519,723434796637.74,53802559038.81
182,2021-02-08,Bitcoin,46307.57412159395,19.246950702977884,862413737410.92,86994225365.23
183,2021-02-09,Bitcoin,46569.56483,0.5657621099263821,867164581003.36,78828431117.06
184,2021-02-10,Bitcoin,44848.69344950499,-3.6952704771388123,839561451461.06,70000356395.82
185,2021-02-11,Bitcoin,47815.96175554316,6.616175584644424,890629045243.60,66187179918.89
186,2021-02-12,Bitcoin,47414.1862550079,-0.8402539356822225,880620921496.08,61942185129.00
187,2021-02-13,Bitcoin,46941.29208582354,-0.9973685230850404,874425017687.08,55312381649.34
188,2021-02-14,Bitcoin,48607.8745224845,3.5503548424144826,905515462576.99,57738376570.13
189,2021-02-15,Bitcoin,47898.487027633135,-1.459408587230493,892345220938.28,61061855793.76
190,2021-02-16,Bitcoin,49238.13690672487,2.7968521809861535,917339726314.70,64141133353.98
191,2021-02-17,Bitcoin,52143.6788446198,5.900998941936186,971516568847.58,68478739131.43
192,2021-02-18,Bitcoin,51733.075539032034,-0.7874459851812454,963911356673.46,58486508605.56
193,2021-02-19,Bitcoin,56038.72775892988,8.322822826663923,1044189900351.59,71397235196.84
194,2021-02-20,Bitcoin,56377.63347790987,0.6047705444668594,1050555931433.14,77351787996.10
